BSSID,SSID,Building,Floor,Location_x,Location_y,Frequency,AccX,AccY,AccZ,ORIx,ORIy,ORIz,Level,GeoX,GeoY,GeoZ,Model,Time
44:6a:2e:09:f1:c0,XJTLU,IBSS,4N-right,50,5,2437,-0.1761,-1.6578,9.663799,173.6910685556423,9.73260975591797,-1.0439651728890649,-89,-3.0625,-27.9375,-40.125,EVA-AL10,1534317566144
44:6a:2e:07:14:90,none,IBSS,4N-right,50,5,none,none,none,none,none,none,none,-110,none,none,none,EVA-AL10,none
44:6a:2e:09:f6:31,eduroam,IBSS,4N-right,50,5,5785,-9.7599,-0.8066,0.5126,346.6320365724947,4.717958291828185,-86.99353081675697,-86,40.25,36.1875,5.6875,EVA-AL10,1534322151493
44:6a:2e:07:36:50,none,IBSS,4N-right,50,5,none,none,none,none,none,none,none,-110,none,none,none,EVA-AL10,none
a4:c6:4f:d5:fb:01,eduroam,IBSS,4N-right,50,5,2462,-9.459499,-0.9198,2.417,355.42033468273115,5.381891525854329,-75.66699396517897,-87,32.75,35.6875,-5.6875,EVA-AL10,1534322015362
44:6a:2e:07:43:00,XJTLU,IBSS,4N-right,50,5,2462,-9.6174,-0.6744,1.7943,359.5880054972249,3.9433576371144405,-79.43193766966257,-87,37.0,32.125,-6.6875,EVA-AL10,1534321964607
44:6a:2e:07:33:e1,none,IBSS,4N-right,50,5,none,none,none,none,none,none,none,-110,none,none,none,EVA-AL10,none
44:6a:2e:09:f2:00,none,IBSS,4N-right,50,5,none,none,none,none,none,none,none,-110,none,none,none,EVA-AL10,none
ac:4e:91:61:21:00,none,IBSS,4N-right,50,5,none,none,none,none,none,none,none,-110,none,none,none,EVA-AL10,none
44:6a:2e:07:41:41,none,IBSS,4N-right,50,5,none,none,none,none,none,none,none,-110,none,none,none,EVA-AL10,none
00:06:f4:b8:20:51,none,IBSS,4N-right,50,5,none,none,none,none,none,none,none,-110,none,none,none,EVA-AL10,none
44:6a:2e:09:be:60,none,IBSS,4N-right,50,5,none,none,none,none,none,none,none,-110,none,none,none,EVA-AL10,none
44:6a:2e:09:f1:60,XJTLU,IBSS,4N-right,50,5,2437,-0.063,0.93729997,9.761499,164.79480180321403,-5.4846167171976745,-0.3697776104433369,-88,-8.8125,-36.5,-32.8125,EVA-AL10,1534318471852
